environment,seed,episodes,success_rate,wall_rate,timeout_rate,mean_reward,mean_steps
Env1_Simple,1,200,0.0,1.0,0.0,-1.00964,509.64
Env1_Simple,27,200,0.0,1.0,0.0,-1.036154,536.155
Env1_Simple,42,200,0.0,1.0,0.0,-1.049933,549.935
Env1_Simple,72,200,0.0,1.0,0.0,-0.942024,442.025
Env1_Simple,100,200,0.0,1.0,0.0,-0.9515445,451.545
Env2_Complex,1,200,0.0,1.0,0.0,-0.62644,126.44
Env2_Complex,27,200,0.0,1.0,0.0,-0.6186849999999999,118.685
Env2_Complex,42,200,0.0,1.0,0.0,-0.590565,90.565
Env2_Complex,72,200,0.0,1.0,0.0,-0.61631,116.31
Env2_Complex,100,200,0.0,1.0,0.0,-0.61225,112.25
Env3_Warehouse,1,200,0.0,1.0,0.0,-0.622115,122.115
Env3_Warehouse,27,200,0.005,0.995,0.0,-0.61766,145.16
Env3_Warehouse,42,200,0.005,0.995,0.0,-0.588765,116.265
Env3_Warehouse,72,200,0.0,1.0,0.0,-0.6224649999999999,122.465
Env3_Warehouse,100,200,0.0,1.0,0.0,-0.64534,145.34
