algorithm,analysis_run_id,seed,eval_environment,eval_mode,episodes,goals,goal_rate,mean_reward,timeouts,timeout_rate,wall_like_failures,wall_like_rate,mean_steps
A2C,A2C_Seed1,1,Env1,deterministic,50,0,0.0,-2.6080401224619707,48,0.96,2,0.04,4816.08
A2C,A2C_Seed1,1,Env1,stochastic,50,0,0.0,-5.058170211984543,10,0.2,40,0.8,2116.34
A2C,A2C_Seed1,1,Env2,stochastic,50,0,0.0,-5.041960204148199,0,0.0,50,1.0,83.92
A2C,A2C_Seed1,1,Env3,stochastic,50,0,0.0,-5.046110204345314,0,0.0,50,1.0,92.22
A2C,A2C_Seed27,27,Env1,deterministic,50,0,0.0,-2.5000001187436283,50,1.0,0,0.0,5000.0
A2C,A2C_Seed27,27,Env1,stochastic,50,0,0.0,-5.329870222769678,7,0.14,43,0.86,2059.74
A2C,A2C_Seed27,27,Env2,deterministic,50,0,0.0,-4.855640197418397,3,0.06,47,0.94,311.28
A2C,A2C_Seed27,27,Env3,deterministic,50,0,0.0,-5.005300202406943,0,0.0,50,1.0,10.6
A2C,A2C_Seed42,42,Env1,deterministic,50,0,0.0,-2.5000001187436283,50,1.0,0,0.0,5000.0
A2C,A2C_Seed42,42,Env1,stochastic,50,0,0.0,-5.156090217342134,11,0.22,39,0.78,2512.18
DQN,DQN_v1_Seed1,1,Env1,deterministic,50,0,0.0,-2.9797201351693365,41,0.82,9,0.18,4159.44
DQN,DQN_v1_Seed1,1,Env1,stochastic,50,0,0.0,-3.6693501594453117,29,0.58,21,0.42,3138.7
DQN,DQN_v1_Seed1,1,Env2,deterministic,50,0,0.0,-3.3109401459549552,34,0.68,16,0.32,3421.88
DQN,DQN_v1_Seed1,1,Env3,deterministic,50,0,0.0,-4.488990185656585,11,0.22,39,0.78,1177.98
DQN,DQN_v1_Seed100,100,Env1,deterministic,50,0,0.0,-3.275240144965937,35,0.7,15,0.3,3550.48
DQN,DQN_v1_Seed100,100,Env1,stochastic,50,0,0.0,-3.8640101658646016,25,0.5,25,0.5,2728.02
DQN,DQN_v1_Seed27,27,Env1,deterministic,50,0,0.0,-3.555850154054351,29,0.58,21,0.42,2911.7
DQN,DQN_v1_Seed27,27,Env1,stochastic,50,8,0.16,-2.4310901234915945,8,0.16,34,0.68,1262.18
DQN,DQN_v1_Seed27,27,Env2,stochastic,50,0,0.0,-4.841360198860056,6,0.12,44,0.88,882.72
DQN,DQN_v1_Seed27,27,Env3,stochastic,50,6,0.12,-3.3027501505217516,1,0.02,43,0.86,405.5
DQN,DQN_v1_Seed42,42,Env1,deterministic,50,0,0.0,-4.070600172143895,20,0.4,30,0.6,2141.2
DQN,DQN_v1_Seed42,42,Env1,stochastic,50,0,0.0,-5.021240207403898,6,0.12,44,0.88,1242.48
DQN,DQN_v1_Seed72,72,Env1,deterministic,50,0,0.0,-3.95966016828781,22,0.44,28,0.56,2319.32
DQN,DQN_v1_Seed72,72,Env1,stochastic,50,0,0.0,-4.141210174791049,19,0.38,31,0.62,2082.42
PPO,PPO_Seed1,1,Env1,ml_agents_inference,50,0,0.0,-2.4994,50,1.0,0,0.0,4999.0
PPO,PPO_Seed1,1,Env2,ml_agents_inference,50,0,0.0,-4.652876,7,0.14,43,0.86,705.78
PPO,PPO_Seed1,1,Env3,ml_agents_inference,50,0,0.0,-5.08675,0,0.0,50,1.0,173.5
PPO,PPO_Seed100,100,Env1,ml_agents_inference,50,0,0.0,-2.4994,50,1.0,0,0.0,4999.0
PPO,PPO_Seed27,27,Env1,ml_agents_inference,50,0,0.0,-2.767226,46,0.92,4,0.08,4734.64
PPO,PPO_Seed42,42,Env1,ml_agents_inference,50,0,0.0,-2.554602,49,0.98,1,0.02,4909.4
PPO,PPO_Seed72,72,Env1,ml_agents_inference,50,0,0.0,-2.652856,47,0.94,3,0.06,4705.9
Random,Random_Seed1,1,Env1,random_policy,50,0,0.0,-5.28359,0,0.0,50,1.0,567.18
Random,Random_Seed1,1,Env2,random_policy,50,0,0.0,-5.05509,0,0.0,50,1.0,110.18
Random,Random_Seed1,1,Env3,random_policy,50,0,0.0,-5.04808,0,0.0,50,1.0,96.16
Random,Random_Seed100,100,Env1,random_policy,50,0,0.0,-5.1822799999999996,0,0.0,50,1.0,364.56
Random,Random_Seed100,100,Env2,random_policy,50,0,0.0,-5.06535,0,0.0,50,1.0,130.7
Random,Random_Seed100,100,Env3,random_policy,50,0,0.0,-5.08901,0,0.0,50,1.0,178.02
Random,Random_Seed27,27,Env1,random_policy,50,0,0.0,-5.26121,0,0.0,50,1.0,522.42
Random,Random_Seed27,27,Env2,random_policy,50,0,0.0,-5.047149999999999,0,0.0,50,1.0,94.3
Random,Random_Seed27,27,Env3,random_policy,50,1,0.02,-4.77921,0,0.0,49,0.98,158.42
Random,Random_Seed42,42,Env1,random_policy,50,0,0.0,-5.25794,0,0.0,50,1.0,515.88
Random,Random_Seed42,42,Env2,random_policy,50,0,0.0,-5.04714,0,0.0,50,1.0,94.28
Random,Random_Seed42,42,Env3,random_policy,50,0,0.0,-5.06659,0,0.0,50,1.0,133.18
Random,Random_Seed72,72,Env1,random_policy,50,0,0.0,-5.18934,0,0.0,50,1.0,378.68
Random,Random_Seed72,72,Env2,random_policy,50,0,0.0,-5.06431,0,0.0,50,1.0,128.62
Random,Random_Seed72,72,Env3,random_policy,50,0,0.0,-5.05011,0,0.0,50,1.0,100.22
