algorithm,analysis_run_id,seed,eval_environment,eval_mode,episodes,mean_reward,std_reward,mean_steps,std_steps,goals,timeouts,wall_like_failures,goal_rate,timeout_rate,wall_like_rate
A2C,A2C_Seed1,1,Env1,deterministic,50,-2.6080401224619707,0.5346593591145711,4816.08,910.1679557944798,0,48,2,0.0,0.96,0.04
A2C,A2C_Seed1,1,Env1,stochastic,50,-5.058170211984543,1.3847651567133652,2116.34,1764.5984755745426,0,10,40,0.0,0.2,0.8
A2C,A2C_Seed1,1,Env2,stochastic,50,-5.041960204148199,0.07507505716871436,83.92,150.1501072056812,0,0,50,0.0,0.0,1.0
A2C,A2C_Seed1,1,Env3,stochastic,50,-5.046110204345314,0.055427588227731375,92.22,110.85517119012464,0,0,50,0.0,0.0,1.0
A2C,A2C_Seed27,27,Env1,deterministic,50,-2.5000001187436283,0.0,5000.0,0.0,0,50,0,0.0,1.0,0.0
A2C,A2C_Seed27,27,Env1,stochastic,50,-5.329870222769678,1.349085101754306,2059.74,1842.5934009500006,0,7,43,0.0,0.14,0.86
A2C,A2C_Seed27,27,Env2,deterministic,50,-4.855640197418397,0.601216109454831,311.28,1196.6749348055373,0,3,47,0.0,0.06,0.94
A2C,A2C_Seed27,27,Env3,deterministic,50,-5.005300202406943,0.004600355129392152,10.6,9.200709821774067,0,0,50,0.0,0.0,1.0
A2C,A2C_Seed42,42,Env1,deterministic,50,-2.5000001187436283,0.0,5000.0,0.0,0,50,0,0.0,1.0,0.0
A2C,A2C_Seed42,42,Env1,stochastic,50,-5.156090217342134,1.5810481954209514,2512.18,1912.7082379896497,0,11,39,0.0,0.22,0.78
DQN,DQN_v1_Seed1,1,Env1,deterministic,50,-2.9797201351693365,1.0419128772310715,4159.44,1829.6500408101915,0,41,9,0.0,0.82,0.18
DQN,DQN_v1_Seed1,1,Env1,stochastic,50,-3.6693501594453117,1.439486706093025,3138.7,2337.318708455901,0,29,21,0.0,0.58,0.42
DQN,DQN_v1_Seed1,1,Env2,deterministic,50,-3.3109401459549552,1.1944765783313802,3421.88,2324.533498426324,0,34,16,0.0,0.68,0.32
DQN,DQN_v1_Seed1,1,Env3,deterministic,50,-4.488990185656585,1.0690892559204537,1177.98,2054.6758271547064,0,11,39,0.0,0.22,0.78
DQN,DQN_v1_Seed100,100,Env1,deterministic,50,-3.275240144965937,1.1964803303620495,3550.48,2237.2119879849724,0,35,15,0.0,0.7,0.3
DQN,DQN_v1_Seed100,100,Env1,stochastic,50,-3.8640101658646016,1.4156977162385302,2728.02,2385.385678737619,0,25,25,0.0,0.5,0.5
DQN,DQN_v1_Seed27,27,Env1,deterministic,50,-3.555850154054351,1.2533708449504284,2911.7,2478.9642360618013,0,29,21,0.0,0.58,0.42
